EMP_ID,NAME,EMP_RATING,SALARY,BONUS
E001,"Arthur Black",5,16500,4125.00
E005,"Eric Hoffman",3,8500,1275.00
E010,"William Butler",2,9000,900.00
E052,"Dianna Wilson",5,5500,1375.00
E057,"Dorothy Wilson",1,7700,385.00
E083,"Patrick Voltz",5,9500,2375.00
E103,"Emily Grove",4,10500,2100.00
E204,"Karene Nowak",5,7500,1875.00
E245,"Nian Zhen",2,6500,650.00
E260,"Roy Collins",3,7000,1050.00
E403,"Steve Hoffman",3,5000,750.00
E428,"Pete Allen",4,11000,2200.00
E478,"David Smith",4,4000,800.00
E505,"Chad Wilson",2,5000,500.00
E532,"Claire Brennan",1,4300,215.00
E583,"Janet Hale",2,10000,1000.00
E612,"Tracy Norris",4,8500,1700.00
E620,"Katrina Allen",1,3000,150.00
E640,"Jenifer Jhones",4,2800,560.00
